,,Size USD,Size USD,Size USD
,,sum,count,mean
sentiment,Side,,,
Extreme Greed,BUY,19578299.88,3371,5807.86
Extreme Greed,SELL,19828470.37,3591,5521.71
Fear,BUY,353775741.76,66081,5353.67
Fear,SELL,350382751.22,67790,5168.65
Greed,BUY,56143143.03,15421,3640.69
Greed,SELL,59360528.82,20868,2844.57
Neutral,BUY,10904711.49,3505,3111.19
Neutral,SELL,10938522.86,3636,3008.39
